,route_id,path_type,direction,polyline,Unnamed: 0,path_id,th_name,en_name
84,1-40,main,go,"[(13.742697, 100.695065), (13.742616, 100.695019), (13.739823, 100.693431), (13.73938, 100.693013), (13.739198, 100.69268), (13.73999, 100.688517), (13.740323, 100.687594), (13.740511, 100.685706), (13.74099, 100.683539), (13.741459, 100.682541), (13.742053, 100.678089), (13.742407, 100.676029), (13.74271, 100.67457), (13.745013, 100.670278), (13.745263, 100.669742), (13.74618, 100.6656), (13.746201, 100.665), (13.746305, 100.663369), (13.746472, 100.662339), (13.747556, 100.657618), (13.748431, 100.652876), (13.749036, 100.650794), (13.749765, 100.649142), (13.751866, 100.645268), (13.743696, 100.643122), (13.735427, 100.641179), (13.735584, 100.640253), (13.736371, 100.634269), (13.737112, 100.626892), (13.736936, 100.625352), (13.736273, 100.615501), (13.736196, 100.61318), (13.736529, 100.611698), (13.737947, 100.608169), (13.739656, 100.603298), (13.740209, 100.601689), (13.74048, 100.601228), (13.740717, 100.600912), (13.74098, 100.600584), (13.741292, 100.599994), (13.741886, 100.597177), (13.74248, 100.594479), (13.743084, 100.591786), (13.745784, 100.58007), (13.747848, 100.570736), (13.748223, 100.568676), (13.749161, 100.561187), (13.749942, 100.554986), (13.749942, 100.553323), (13.749536, 100.54725), (13.7494, 100.54474), (13.749525, 100.543764), (13.74983, 100.541299), (13.749572, 100.541033), (13.744552, 100.540204), (13.746069, 100.531212), (13.745669, 100.530728), (13.734528, 100.529108), (13.733434, 100.528931), (13.732747, 100.529253), (13.732434, 100.529977), (13.730797, 100.534022), (13.727702, 100.524302), (13.725982, 100.518894), (13.725555, 100.517489), (13.72543, 100.516212), (13.72913, 100.51574), (13.728442, 100.514345), (13.728484, 100.514216), (13.728723, 100.514045), (13.729792, 100.513889)]",68.0,93,ม.นักกีฬา-สี่พระยา,
85,1-40,main,back,"[(13.729862, 100.513878), (13.730068, 100.515164), (13.732423, 100.52832), (13.732694, 100.528614), (13.733267, 100.528776), (13.745753, 100.530589), (13.746357, 100.530696), (13.745972, 100.532584), (13.744677, 100.540215), (13.746826, 100.540566), (13.750067, 100.541028), (13.749577, 100.544279), (13.749546, 100.545491), (13.750078, 100.553291), (13.750098, 100.554214), (13.750005, 100.554846), (13.749723, 100.557808), (13.74889, 100.564374), (13.748264, 100.569406), (13.747618, 100.57271), (13.745659, 100.581315), (13.742595, 100.594618), (13.741271, 100.600723), (13.74073, 100.601238), (13.740206, 100.602236), (13.738512, 100.607064), (13.736785, 100.611387), (13.736347, 100.613155), (13.737035, 100.624621), (13.737279, 100.626517), (13.737047, 100.629622), (13.736138, 100.637451), (13.735747, 100.640882), (13.737523, 100.641417), (13.746916, 100.64374), (13.752016, 100.645141), (13.751234, 100.646642), (13.75013, 100.648617), (13.74915, 100.650687), (13.748566, 100.652618), (13.747993, 100.655622), (13.747566, 100.6578), (13.747055, 100.660182), (13.746378, 100.663261), (13.746253, 100.665579), (13.746118, 100.666244), (13.745336, 100.669624), (13.74518, 100.67016), (13.742876, 100.674505), (13.74271, 100.674881), (13.742334, 100.676951), (13.741699, 100.681576), (13.741438, 100.682874), (13.741063, 100.683743), (13.740917, 100.684097), (13.740573, 100.685846), (13.740396, 100.687873), (13.740021, 100.688775), (13.739844, 100.689676), (13.73927, 100.692669), (13.739541, 100.693066), (13.739833, 100.693324), (13.74272, 100.694968)]",69.0,,สี่พระยา-ม.นักกีฬา,
86,1-41,main,go,"[(13.775108, 100.641203), (13.767981, 100.642029), (13.765899, 100.645346), (13.7635, 100.645545), (13.762902, 100.645448), (13.762562, 100.644829), (13.762215, 100.640161), (13.761907, 100.637606), (13.761503, 100.634107), (13.760541, 100.625759), (13.759728, 100.618769), (13.759131, 100.617419), (13.757719, 100.615802), (13.755322, 100.613342), (13.75101, 100.609024), (13.746989, 100.605107), (13.743457, 100.601564), (13.743168, 100.601312), (13.742386, 100.601444), (13.741668, 100.601464), (13.741366, 100.601205), (13.741021, 100.600938), (13.740663, 100.600903), (13.740258, 100.601524), (13.739054, 100.605235), (13.737178, 100.609875), (13.736405, 100.61212), (13.736164, 100.613274), (13.736911, 100.625229), (13.737133, 100.626665), (13.736675, 100.631469), (13.735692, 100.639604), (13.735528, 100.641027), (13.734733, 100.643232), (13.734676, 100.644063), (13.733938, 100.645778), (13.73022, 100.653577), (13.729293, 100.655489), (13.729031, 100.655805), (13.727639, 100.656616), (13.724364, 100.657853), (13.721382, 100.659061), (13.720553, 100.659281), (13.719291, 100.659722), (13.718054, 100.660037), (13.717484, 100.660137), (13.717043, 100.660211), (13.716586, 100.660297), (13.716152, 100.660603), (13.71599, 100.660918), (13.71595, 100.661284), (13.716077, 100.661655), (13.716354, 100.662022), (13.716793, 100.662225), (13.717341, 100.662338), (13.717719, 100.662714), (13.718084, 100.664645), (13.719809, 100.676288), (13.720365, 100.680087), (13.720461, 100.68179), (13.720883, 100.690942), (13.721317, 100.69724), (13.72174, 100.705225), (13.722085, 100.712582), (13.722049, 100.721927), (13.722107, 100.725604), (13.722324, 100.734317), (13.722453, 100.741475), (13.72249, 100.746423), (13.722637, 100.746588), (13.72765, 100.746635), (13.73256, 100.746592), (13.738233, 100.746558), (13.744513, 100.746554), (13.747399, 100.74663), (13.753048, 100.746417), (13.759092, 100.746372), (13.766339, 100.746368), (13.768661, 100.746326), (13.774066, 100.74638), (13.773758, 100.738868), (13.773722, 100.738032), (13.773364, 100.735201), (13.773333, 100.7347), (13.773328, 100.732647), (13.773243, 100.732409), (13.766282, 100.732312), (13.762237, 100.729336)]",70.0,92,แฮปปี้แลนด์-เคหะร่มเกล้า,
87,1-41,main,back,"[(13.762256, 100.729452), (13.766256, 100.732353), (13.766564, 100.732393), (13.771972, 100.732409), (13.773209, 100.732435), (13.773337, 100.732575), (13.773337, 100.734952), (13.773705, 100.738181), (13.774011, 100.745319), (13.774049, 100.746297), (13.768774, 100.746237), (13.764045, 100.746212), (13.762215, 100.746234), (13.75927, 100.746197), (13.755366, 100.746289), (13.749126, 100.74643), (13.747143, 100.746497), (13.739531, 100.746472), (13.735425, 100.746373), (13.730024, 100.746496), (13.72934, 100.746486), (13.728619, 100.746489), (13.726513, 100.74649), (13.724902, 100.746497), (13.722746, 100.746484), (13.722665, 100.746363), (13.722548, 100.740169), (13.722393, 100.730435), (13.72223, 100.72509), (13.722261, 100.717669), (13.722219, 100.713032), (13.722134, 100.709671), (13.721915, 100.705522), (13.721466, 100.698388), (13.720949, 100.688474), (13.720486, 100.68015), (13.720417, 100.67929), (13.719523, 100.673196), (13.7184, 100.665864), (13.718355, 100.66533), (13.718233, 100.664561), (13.717967, 100.663051), (13.717849, 100.662392), (13.717797, 100.662054), (13.717682, 100.661577), (13.717582, 100.661219), (13.717707, 100.660928), (13.717987, 100.660674), (13.718961, 100.660199), (13.721637, 100.659132), (13.727243, 100.656813), (13.727848, 100.656556), (13.729203, 100.655687), (13.729651, 100.6547), (13.732871, 100.647941), (13.73462, 100.644607), (13.734831, 100.643962), (13.735057, 100.64287), (13.735689, 100.64099), (13.735817, 100.639977), (13.736703, 100.63232), (13.737298, 100.627329), (13.737253, 100.626333), (13.736668, 100.618735), (13.736321, 100.613768), (13.736276, 100.613179), (13.73652, 100.612353), (13.73726, 100.610224), (13.738979, 100.605762), (13.739594, 100.603991), (13.740128, 100.602467), (13.740404, 100.601616), (13.740774, 100.601173), (13.740958, 100.600977), (13.741384, 100.601391), (13.741701, 100.601595), (13.743158, 100.601521), (13.743537, 100.60182), (13.745939, 100.604086), (13.755139, 100.613388), (13.757664, 100.616033), (13.759224, 100.617746), (13.75967, 100.619374), (13.76031, 100.624765), (13.760781, 100.629057), (13.761429, 100.634508), (13.762049, 100.640227), (13.76263, 100.645566), (13.762904, 100.645643), (13.763906, 100.645672), (13.765991, 100.645399), (13.766228, 100.647909), (13.76649, 100.647957), (13.769236, 100.647498), (13.772534, 100.647209), (13.773222, 100.646651), (13.775102, 100.645329), (13.779184, 100.644315), (13.780232, 100.645034), (13.780532, 100.645237), (13.780658, 100.645079), (13.780636, 100.644814), (13.779922, 100.642587), (13.779381, 100.64167), (13.778823, 100.640983), (13.778057, 100.640935), (13.775275, 100.641289)]",71.0,92,เคหะร่มเกล้า-แฮปปี้แลนด์,
88,1-42,main,go,"[(13.812398, 100.728365), (13.81241, 100.7275), (13.812618, 100.718322), (13.812639, 100.708258), (13.81266, 100.698999), (13.81266, 100.690802), (13.812733, 100.690416), (13.813035, 100.689568), (13.813379, 100.68885), (13.81565, 100.686489), (13.82039, 100.68135), (13.824537, 100.676973), (13.830298, 100.671008), (13.835361, 100.665826), (13.836903, 100.664227), (13.837861, 100.663208), (13.838465, 100.662478), (13.833809, 100.660504), (13.826506, 100.657371), (13.821516, 100.655236), (13.818224, 100.653777), (13.809555, 100.650086), (13.805867, 100.648348), (13.804408, 100.647597), (13.803825, 100.647469), (13.803033, 100.647823), (13.79924, 100.649496), (13.794531, 100.651674), (13.792228, 100.652683), (13.791884, 100.65279), (13.791082, 100.652404), (13.789082, 100.65103), (13.785924, 100.648853), (13.782392, 100.64646), (13.779339, 100.644368), (13.778787, 100.644368), (13.776088, 100.645119), (13.774879, 100.645398), (13.772482, 100.647211), (13.77193, 100.64734), (13.769117, 100.6475), (13.766157, 100.647984), (13.765949, 100.645409), (13.766116, 100.644808), (13.768502, 100.640516), (13.771753, 100.634948), (13.778214, 100.623361), (13.782996, 100.614842), (13.787519, 100.606678), (13.79228, 100.598266), (13.796391, 100.590794), (13.800397, 100.583632), (13.805075, 100.575274), (13.809451, 100.567485), (13.813379, 100.560484), (13.813348, 100.560114), (13.809951, 100.558205), (13.803669, 100.554471), (13.800136, 100.552314), (13.798365, 100.551295), (13.797865, 100.551016), (13.797678, 100.549954), (13.797625, 100.548409), (13.803189, 100.548141), (13.808034, 100.547937), (13.80893, 100.548002), (13.809586, 100.548259), (13.81215, 100.549483)]",72.0,96,มีนบุรี-หมอชิต2,
89,1-42,main,back,"[(13.812041, 100.549777), (13.810008, 100.54879), (13.809253, 100.548313), (13.808628, 100.548109), (13.805429, 100.54827), (13.79774, 100.548506), (13.797834, 100.550491), (13.798334, 100.551183), (13.800845, 100.552561), (13.806284, 100.555758), (13.813778, 100.560167), (13.813483, 100.560501), (13.810441, 100.565919), (13.804408, 100.576701), (13.798157, 100.587924), (13.791676, 100.599554), (13.785341, 100.610872), (13.779349, 100.621526), (13.772826, 100.633221), (13.766553, 100.644486), (13.766199, 100.645301), (13.766428, 100.647801), (13.768658, 100.647469), (13.77143, 100.647232), (13.772284, 100.647114), (13.772712, 100.6469), (13.774827, 100.645312), (13.775567, 100.645119), (13.779089, 100.644153), (13.779485, 100.644346), (13.785164, 100.648187), (13.791582, 100.652543), (13.791968, 100.652608), (13.792593, 100.652372), (13.798407, 100.649732), (13.803533, 100.647415), (13.804033, 100.647361), (13.8047, 100.647533), (13.808107, 100.649282), (13.809847, 100.650011), (13.810264, 100.650237), (13.818994, 100.654013), (13.823703, 100.655966), (13.833246, 100.660086), (13.838788, 100.662468), (13.837747, 100.663776), (13.833767, 100.667725), (13.828475, 100.673464), (13.828652, 100.673937), (13.828912, 100.674376), (13.828902, 100.674784), (13.828475, 100.674934), (13.827235, 100.675138), (13.826579, 100.675846), (13.825089, 100.676769), (13.822484, 100.679419), (13.814827, 100.687594), (13.813389, 100.689118), (13.813118, 100.68988), (13.812842, 100.690851), (13.812868, 100.70063), (13.812795, 100.712603), (13.81255, 100.728305)]",73.0,96,หมอชิต2-มีนบุรี,
90,1-43,main,go,"[(13.812436, 100.727639), (13.812598, 100.718644), (13.81265, 100.705758), (13.812639, 100.691468), (13.81267, 100.690759), (13.812806, 100.690094), (13.813087, 100.689375), (13.813462, 100.688753), (13.814046, 100.688077), (13.819234, 100.682616), (13.823235, 100.678341), (13.824178, 100.677016), (13.824235, 100.676774), (13.82423, 100.676431), (13.824084, 100.676115), (13.823735, 100.67583), (13.823261, 100.675632), (13.82287, 100.675632), (13.796375, 100.682348), (13.792822, 100.683335), (13.792264, 100.683475), (13.791897, 100.682784), (13.794427, 100.681434), (13.79886, 100.680845), (13.81888, 100.675106), (13.819255, 100.671566), (13.819474, 100.67045), (13.819807, 100.669216), (13.820182, 100.66765), (13.820349, 100.665954), (13.820297, 100.664699), (13.819901, 100.661952), (13.819744, 100.659206), (13.819505, 100.656813), (13.819328, 100.655601), (13.819026, 100.654142), (13.812754, 100.65147), (13.806872, 100.648869), (13.804674, 100.647683), (13.804299, 100.647528), (13.803846, 100.647522), (13.803434, 100.647646), (13.801991, 100.648322), (13.792504, 100.652597), (13.792036, 100.652763), (13.791765, 100.652758), (13.791483, 100.652667), (13.787159, 100.649738), (13.780506, 100.645237), (13.780635, 100.645088), (13.780649, 100.644907), (13.779964, 100.642587), (13.779571, 100.641927), (13.779183, 100.641536), (13.778849, 100.641031), (13.778729, 100.640972), (13.778104, 100.640972), (13.771493, 100.641675)]",74.0,96A,มีนบุรี-แฮปปี้แลนด์,
91,1-43,main,back,"[(13.771293, 100.641701), (13.767934, 100.641981), (13.766256, 100.645006), (13.766168, 100.645274), (13.766142, 100.645612), (13.766423, 100.647796), (13.767246, 100.647726), (13.769059, 100.647399), (13.772295, 100.64712), (13.772535, 100.647018), (13.774754, 100.645376), (13.77503, 100.645242), (13.775577, 100.645098), (13.779006, 100.64418), (13.779178, 100.644186), (13.779454, 100.644309), (13.791447, 100.652479), (13.791702, 100.652602), (13.791942, 100.652608), (13.792197, 100.652554), (13.803512, 100.647469), (13.803851, 100.647372), (13.80419, 100.647367), (13.804549, 100.647452), (13.80483, 100.647592), (13.807102, 100.648831), (13.809837, 100.650054), (13.81004, 100.650156), (13.812879, 100.651347), (13.8154, 100.65234), (13.819276, 100.654056), (13.819828, 100.656996), (13.819911, 100.658476), (13.820026, 100.660901), (13.820516, 100.665032), (13.820536, 100.666341), (13.82039, 100.66765), (13.81988, 100.669613), (13.819536, 100.671662), (13.819328, 100.673089), (13.819021, 100.67648), (13.817676, 100.676855), (13.81216, 100.678207), (13.806523, 100.679569), (13.800637, 100.681211), (13.797719, 100.681983), (13.796375, 100.682348), (13.794312, 100.683238), (13.792864, 100.683507), (13.792499, 100.683764), (13.792468, 100.684097), (13.792562, 100.684547), (13.798188, 100.697733), (13.802981, 100.708838), (13.80321, 100.709202), (13.806148, 100.713354), (13.806878, 100.714052), (13.80744, 100.714556), (13.808409, 100.715243), (13.810358, 100.716391), (13.811384, 100.716857), (13.81242, 100.717308), (13.812691, 100.717624), (13.812764, 100.717925), (13.812561, 100.727667)]",75.0,96A,แฮปปี้แลนด์-มีนบุรี,
92,1-44,main,go,"[(13.812596, 100.725884), (13.812514, 100.729297), (13.812582, 100.72992), (13.812785, 100.730488), (13.815504, 100.73522), (13.815832, 100.735158), (13.816152, 100.735015), (13.816643, 100.734794), (13.817315, 100.734443), (13.817547, 100.734397), (13.818963, 100.734294), (13.818939, 100.734371), (13.817531, 100.734512), (13.817239, 100.734641), (13.816525, 100.734981), (13.815904, 100.735227), (13.815287, 100.735416), (13.814817, 100.735509), (13.813087, 100.736443), (13.812652, 100.736684), (13.812291, 100.736852), (13.809837, 100.732323), (13.807461, 100.728031), (13.806898, 100.727409), (13.804752, 100.725574), (13.80419, 100.724931), (13.803606, 100.723912), (13.798782, 100.71418), (13.791509, 100.700083), (13.784486, 100.68738), (13.780444, 100.679956), (13.776005, 100.671909), (13.773004, 100.666394), (13.768627, 100.659506), (13.767564, 100.657854), (13.766522, 100.656116), (13.765553, 100.654421), (13.764657, 100.652715), (13.763958, 100.651352), (13.763364, 100.649893), (13.762885, 100.648102), (13.762156, 100.640731), (13.761176, 100.632706), (13.759613, 100.619241), (13.759123, 100.6179), (13.758519, 100.616816), (13.75681, 100.615003), (13.749452, 100.607686), (13.743679, 100.601914), (13.743252, 100.601496), (13.742803, 100.601496), (13.74174, 100.601581), (13.741449, 100.601517), (13.740844, 100.60068), (13.741094, 100.600444), (13.742637, 100.593739), (13.746263, 100.577731), (13.747952, 100.570436), (13.748139, 100.568976), (13.749411, 100.558913), (13.749942, 100.554546), (13.749921, 100.553838), (13.749796, 100.551349), (13.749473, 100.545105), (13.749577, 100.543066), (13.749744, 100.541564), (13.750015, 100.540609), (13.752412, 100.534204), (13.752548, 100.533593), (13.753089, 100.532016), (13.752725, 100.531726), (13.744617, 100.530567), (13.7353, 100.529215), (13.732663, 100.528818), (13.735998, 100.520793), (13.737624, 100.516437), (13.738134, 100.516604), (13.73826, 100.516764), (13.738463, 100.516781), (13.738562, 100.516008), (13.738775, 100.515826), (13.740162, 100.515879), (13.740458, 100.515987), (13.740469, 100.516137), (13.740276, 100.516335), (13.739861, 100.516236)]",76.0,113,มีนบุรี-หัวลำโพง,
93,1-44,main,back,"[(13.739917, 100.51589), (13.740229, 100.51589), (13.740458, 100.515954), (13.740458, 100.51618), (13.740276, 100.516335), (13.738755, 100.516121), (13.738614, 100.516201), (13.738504, 100.517086), (13.740839, 100.517483), (13.740912, 100.517585), (13.740547, 100.520123), (13.736774, 100.519195), (13.735143, 100.523357), (13.733111, 100.528298), (13.733403, 100.528765), (13.745753, 100.530589), (13.746211, 100.530181), (13.747264, 100.524355), (13.747378, 100.523733), (13.749202, 100.524066), (13.752641, 100.52605), (13.755028, 100.526887), (13.752975, 100.532906), (13.751412, 100.537165), (13.750119, 100.540931), (13.749848, 100.542262), (13.749577, 100.543989), (13.749515, 100.544987), (13.749828, 100.550448), (13.750015, 100.553849), (13.749942, 100.555522), (13.749004, 100.563097), (13.748452, 100.567732), (13.748306, 100.569148), (13.746878, 100.57565), (13.744262, 100.587151), (13.741563, 100.59921), (13.741198, 100.600809), (13.741584, 100.601399), (13.741949, 100.601528), (13.743158, 100.601302), (13.743616, 100.601635), (13.753704, 100.61172), (13.758112, 100.616205), (13.758873, 100.61702), (13.759415, 100.617814), (13.759717, 100.618576), (13.761062, 100.63041), (13.76227, 100.64087), (13.763146, 100.648434), (13.763542, 100.649893), (13.764334, 100.651867), (13.767064, 100.656803), (13.773129, 100.666308), (13.780652, 100.679998), (13.791572, 100.699933), (13.800491, 100.717013), (13.803742, 100.723708), (13.80445, 100.724974), (13.804846, 100.725317), (13.807221, 100.727205), (13.807826, 100.728128), (13.812347, 100.736357), (13.81291, 100.736454), (13.814421, 100.73552), (13.8154, 100.735209), (13.812973, 100.730971), (13.812598, 100.730199), (13.8124, 100.729469), (13.812467, 100.725783)]",77.0,113,หัวลำโพง-มีนบุรี,
94,1-45,main,go,"[(13.804533, 100.69165), (13.803752, 100.691639), (13.801595, 100.690877), (13.799147, 100.689923), (13.798501, 100.689805), (13.797771, 100.69003), (13.795323, 100.691392), (13.790238, 100.679612), (13.78979, 100.678754), (13.787717, 100.677381), (13.78557, 100.675385), (13.782976, 100.673003), (13.782278, 100.671941), (13.779683, 100.66765), (13.778943, 100.666287), (13.778234, 100.664764), (13.774754, 100.657918), (13.773441, 100.655837), (13.772837, 100.654786), (13.772045, 100.654056), (13.771561, 100.653744), (13.770482, 100.653048), (13.768877, 100.651824), (13.767752, 100.650666), (13.766887, 100.649604), (13.766334, 100.648542), (13.766272, 100.647919), (13.765949, 100.645409), (13.762562, 100.64573), (13.762343, 100.643574), (13.761312, 100.634165), (13.760457, 100.626161), (13.759696, 100.619659), (13.759478, 100.618544), (13.758894, 100.617267), (13.757685, 100.616033), (13.750703, 100.608952), (13.744888, 100.603094), (13.744054, 100.602279), (13.743345, 100.601656), (13.742866, 100.601571), (13.741668, 100.601614), (13.741355, 100.601367), (13.739739, 100.599103), (13.739031, 100.598931), (13.730631, 100.596657), (13.728546, 100.595992), (13.724877, 100.595927), (13.718144, 100.595777), (13.717456, 100.595777), (13.712933, 100.594211), (13.714152, 100.592516), (13.713287, 100.5917), (13.712662, 100.59022), (13.712745, 100.588396), (13.712912, 100.581229), (13.713225, 100.580306), (13.715247, 100.575693), (13.719583, 100.565565), (13.719552, 100.564867), (13.718936, 100.563633), (13.718812, 100.562786), (13.718999, 100.561745), (13.721104, 100.556552), (13.728025, 100.540052), (13.729307, 100.536532), (13.728828, 100.535331), (13.726295, 100.52826), (13.723074, 100.519291), (13.718645, 100.519903), (13.718061, 100.518079), (13.717915, 100.517049), (13.718457, 100.515032), (13.719937, 100.515686)]",78.0,115,สวนสยาม-บางรัก,
95,1-45,main,back,"[(13.719937, 100.515686), (13.722272, 100.516727), (13.725795, 100.526469), (13.729693, 100.536897), (13.723189, 100.5521), (13.719301, 100.56152), (13.718936, 100.562882), (13.719228, 100.563891), (13.719604, 100.56447), (13.719791, 100.5652), (13.716435, 100.573332), (13.713079, 100.581207), (13.712808, 100.590134), (13.713433, 100.591636), (13.714392, 100.592505), (13.713183, 100.594103), (13.71754, 100.595627), (13.721917, 100.595734), (13.728317, 100.595863), (13.731881, 100.596807), (13.739594, 100.598888), (13.74149, 100.601206), (13.741949, 100.601528), (13.743158, 100.601302), (13.746201, 100.604188), (13.758248, 100.616312), (13.759248, 100.617439), (13.759894, 100.619466), (13.761062, 100.629916), (13.762781, 100.645173), (13.763312, 100.645602), (13.766199, 100.645301), (13.766637, 100.648659), (13.76796, 100.650516), (13.769377, 100.652039), (13.772743, 100.654399), (13.773525, 100.65558), (13.778564, 100.665053), (13.782069, 100.671319), (13.782986, 100.672724), (13.783444, 100.67325), (13.787519, 100.677005), (13.789696, 100.678432), (13.790051, 100.678732), (13.792218, 100.683603), (13.795323, 100.691221), (13.798188, 100.689686), (13.798886, 100.689676), (13.803825, 100.691489), (13.804544, 100.691478)]",79.0,115,บางรัก-สวนสยาม,
96,1-46,main,go,"[(13.855664, 100.866358), (13.856034, 100.864304), (13.856289, 100.863123), (13.856252, 100.863043), (13.856096, 100.863), (13.855768, 100.862925), (13.855258, 100.862802), (13.854877, 100.862646), (13.847101, 100.858591), (13.837694, 100.853688), (13.830402, 100.849922), (13.820651, 100.844976), (13.813014, 100.840942), (13.807503, 100.837948), (13.807273, 100.83775), (13.808086, 100.824398), (13.809732, 100.807564), (13.811983, 100.784862), (13.813483, 100.768629), (13.815754, 100.746528), (13.816004, 100.745401), (13.81639, 100.744726), (13.816182, 100.744135), (13.812264, 100.736775), (13.814421, 100.73552), (13.8154, 100.735209), (13.812514, 100.730038), (13.812389, 100.729641), (13.812545, 100.72095), (13.812639, 100.717775), (13.812202, 100.717421), (13.811014, 100.716959), (13.809118, 100.715779), (13.807117, 100.714438), (13.806252, 100.713687), (13.805231, 100.71241), (13.803189, 100.709438), (13.802616, 100.708408), (13.795823, 100.692551), (13.790572, 100.680256), (13.789967, 100.678958), (13.788863, 100.67811), (13.78731, 100.677048), (13.78632, 100.676147), (13.783632, 100.673604), (13.782851, 100.67281), (13.782215, 100.671802), (13.779683, 100.66765), (13.778756, 100.665858), (13.77491, 100.658315), (13.77267, 100.654603), (13.773629, 100.653734), (13.774118, 100.653541), (13.775254, 100.653176), (13.776348, 100.652801), (13.777359, 100.652307), (13.779433, 100.651084), (13.780829, 100.650108), (13.783517, 100.648048), (13.78407, 100.647565), (13.780522, 100.645216), (13.780647, 100.644955), (13.780404, 100.644118), (13.779917, 100.642517), (13.779381, 100.64167), (13.778823, 100.640983), (13.77862, 100.640945), (13.77155, 100.641514)]",80.0,131,หนองจอก-แฮปปี้แลนด์,
97,1-46,main,back,"[(13.771253, 100.641653), (13.767981, 100.642029), (13.76622, 100.645162), (13.766209, 100.645773), (13.766439, 100.647565), (13.766647, 100.648788), (13.767116, 100.649528), (13.768168, 100.650805), (13.768877, 100.651524), (13.770846, 100.653133), (13.772618, 100.654356), (13.773274, 100.655301), (13.774244, 100.656953), (13.777526, 100.662993), (13.779787, 100.667564), (13.781986, 100.671265), (13.783048, 100.672864), (13.784153, 100.673947), (13.786591, 100.676243), (13.789217, 100.678239), (13.790071, 100.678947), (13.790926, 100.680621), (13.794906, 100.690084), (13.79972, 100.701327), (13.803127, 100.709074), (13.804075, 100.710361), (13.806659, 100.713902), (13.80943, 100.715822), (13.811306, 100.716863), (13.81242, 100.717303), (13.812806, 100.71785), (13.812545, 100.727656), (13.812504, 100.729421), (13.812629, 100.730048), (13.815504, 100.73522), (13.815249, 100.735391), (13.814645, 100.735552), (13.813926, 100.73596), (13.812931, 100.736604), (13.812738, 100.737156), (13.815239, 100.741834), (13.816786, 100.744629), (13.816369, 100.745176), (13.816056, 100.746142), (13.81491, 100.757589), (13.812493, 100.780957), (13.810555, 100.801406), (13.807649, 100.830814), (13.807524, 100.834494), (13.807211, 100.837584), (13.807711, 100.837873), (13.815858, 100.842358), (13.823808, 100.846392), (13.827152, 100.848098), (13.834288, 100.851799), (13.839174, 100.85431), (13.846049, 100.857872), (13.852789, 100.86138), (13.855294, 100.862705), (13.856065, 100.862963), (13.856273, 100.862979), (13.856359, 100.862951), (13.856418, 100.86298), (13.856419, 100.863067), (13.856331, 100.863129), (13.856101, 100.864245), (13.855664, 100.866358)]",81.0,131,แฮปปี้แลนด์-หนองจอก,
98,1-47,main,go,"[(13.775171, 100.641278), (13.77167, 100.641643), (13.768335, 100.641997), (13.767981, 100.642029), (13.766428, 100.644818), (13.76622, 100.645162), (13.766189, 100.645366), (13.763, 100.645655), (13.762833, 100.645795), (13.762948, 100.647039), (13.763135, 100.648499), (13.763312, 100.649346), (13.763677, 100.650194), (13.764084, 100.651191), (13.764834, 100.652812), (13.765355, 100.653831), (13.765907, 100.654786), (13.767064, 100.656803), (13.768564, 100.659184), (13.771524, 100.663809), (13.773785, 100.667553), (13.779058, 100.677091), (13.781913, 100.682273), (13.785351, 100.688603), (13.790551, 100.698098), (13.795448, 100.70711), (13.799293, 100.71462), (13.800824, 100.717796), (13.804117, 100.724502), (13.804388, 100.724899), (13.804627, 100.725242), (13.807076, 100.72713), (13.807409, 100.727538), (13.808128, 100.728686), (13.810858, 100.73382), (13.812514, 100.736797), (13.80855, 100.738956), (13.795557, 100.745984), (13.794724, 100.746187), (13.782481, 100.746445), (13.775478, 100.746445), (13.762786, 100.746359), (13.756096, 100.746402), (13.756075, 100.747882), (13.752761, 100.776056), (13.750594, 100.794488), (13.749562, 100.793963), (13.739359, 100.790819), (13.738817, 100.790497), (13.732512, 100.784618), (13.731798, 100.784162), (13.730792, 100.784039), (13.730506, 100.783776), (13.730375, 100.782644), (13.730474, 100.779543), (13.730229, 100.778975), (13.729396, 100.778208), (13.728624, 100.777966), (13.724815, 100.778165), (13.724784, 100.780139), (13.721985, 100.780262), (13.722183, 100.788545), (13.721954, 100.790111), (13.721579, 100.791442), (13.719859, 100.796377), (13.720088, 100.796581), (13.723538, 100.797621), (13.723601, 100.797922), (13.719307, 100.809766), (13.715883, 100.819165)]",82.0,143,มีนบุรี-ประชาพัฒนา,
