stopid,name_t,name_e,lat,lon
321,ARL พญาไท,ARL Phaya Thai,13.7566412159498,100.534980895319
324,ARL มักกะสัน,ARL Makkasan,13.750389,100.561817
363,วังสราญรมย์,Saranrom Park,13.747348395,100.49568857
364,วังบูรพา,Wangburapa,13.7454950214597,100.502705451088
365,วัดช่องลม,Wat Chong Lom,13.702777262864,100.545950006947
366,โรงเรียนเซนต์จอห์น,Saint John International School,13.809688036,100.56005139
367,โรงพยาบาลเด็ก,Children Hospital,13.7662147902218,100.53515824
368,คริสตจักรสะพานเหลือง,Saphan Lueng Church,13.7348427646071,100.523342111965
369,ซอยรามคำแหง 43/1,Ramkhamhaeng Road Soi 43/1,13.758973753,100.61699747
370,ตรงข้ามศูนย์วิจัย,Soi Soonvijai (Opposite),13.744841422,100.58374944
371,เทสโก้โลตัสพัฒนาการ,Tesco Lotus Pattanakarn Road,13.7363953359832,100.635599332381
372,สะพานตากสิน,Taksin Bridge,13.720175148,100.50865965
373,ตรงข้ามหมู่บ้านรุ่งกิจ,Rung Kit Village (Opposite),13.774671526753,100.668899751261
374,กองบัญชาการกองทัพอากาศไทย ตรงข้ามโรงเรียนนายเรือ,Royal Thai Air Force,13.9222539532288,100.624064314184
375,ตรงข้ามโรงพยาบาลเลิดสิน,Lerdsin Hospital (Opposite),13.7226987076588,100.517574444314
376,ตรงข้ามแฟชั่นไอส์แลนด์,Fashion Island (Opposite),13.8250115605865,100.676357306316
377,กรมช่างอากาศ,Directorate of Aeronautical Engineering,13.7933486421026,100.530904556737
378,โรมแรมสุดา,Suda Hotel,13.788984341,100.55073371
379,สวนเจ้าเชตุ,Suan Chao Chet,13.7459513518186,100.494436707404
380,ซอยเอกชัย 46,Soi Ekkachai 46,13.6815040093066,100.438935754216
383,หมู่บ้านเศรษฐกิจ,Setthakit Village,13.7084262538275,100.377226827614
384,เซ็นทรัลปิ่นเกล้า,Central Pinklao,13.7788936806758,100.476450678035
386,ศูนย์หนังสือธรรมสภา,Thammasapa,13.7881665524892,100.347821764141
387,ตรงข้ามโรงพยาบาลศิริราช,Siriraj Hospital (Opposite),13.7570376020492,100.483180173894
388,สถานีตำรวจมีนบุรี,Police Station Minburi,13.8150530587099,100.734409335859
390,ปั๊มน้ำมันสตาร์โฮลดิ้ง,Star Holdings Gas Station,13.6041537844848,100.777886820841
391,ตรงข้ามวัดสมรโกฏิ,Wat Samon Kot (Opposite),13.86281929,100.50151314
393,แยกประชาอุทิศ,Pracha Uthit Intersection,13.6728279252824,100.507110675436
394,สจล.(คณะวิทยาศาสตร์),KMITL (Faculty of Science),13.7289491526198,100.778173763792
